序号,设备编号,名称,托盘数DM,状态DM,PLC-IP,最大托盘数
1,E0100101,焊接机1-1,,DM200,192.168.0.10,1
2,E0100102,焊接机1-2,,DM201,192.168.0.10,1
3,E0100103,焊接机1-3,,DM202,192.168.0.10,1
4,E0100201,焊接机2-1,,DM203,192.168.0.10,1
5,E0100202,焊接机2-2,,DM204,192.168.0.10,1
6,E0100203,焊接机2-3,,DM205,192.168.0.10,1
7,E01101,AOI检测,,DM206,192.168.0.10,1
8,E03201,人工液晶指示灯,,DM207,192.168.0.10,1
9,E01201,蜂鸣检测,,DM208,192.168.0.10,1
10,E01301,机器人上壳,,DM209,192.168.0.10,1
11,E01401,刻录专机1,,DM210,192.168.0.10,1
12,E01501,CCD专机,,DM211,192.168.0.10,1
13,E01601,UFT1-1,DM212,DM213,192.168.0.10,6
14,E01602,UFT1-2,DM214,DM215,192.168.0.10,6
15,E01701,UFT2,DM216,DM217,192.168.0.10,3
16,E01801,上壳螺丝机,,DM218,192.168.0.10,1
17,E01901,机器人上下表1,,DM219,192.168.0.10,1
18,E02001,耐压专机,DM220,DM221,192.168.0.20,2
19,E02101,初调专机1,DM222,DM223,192.168.0.20,8
20,E02102,初调专机2,DM224,DM225,192.168.0.20,8
21,E02201,复校专机1,DM226,DM227,192.168.0.20,8
22,E02202,复校专机2,DM228,DM229,192.168.0.20,8
23,E02203,复校专机3,DM230,DM231,192.168.0.20,8
24,E02204,复校专机4,DM232,DM233,192.168.0.20,8
25,E02301,机器人上下表2,,DM234,192.168.0.30,1
26,E02401,刻录专机2,,DM235,192.168.0.30,1
27,E02501,设参专机1（601）,DM236,DM237,192.168.0.30,6
28,E02601,设参专机2（602）,DM238,DM239,192.168.0.30,3
29,E02701,铅封专机,,DM240,192.168.0.30,1
30,E02801,刻录专机3,,DM241,192.168.0.30,1
31,E03001,机器人尾盖,,DM242,192.168.0.30,1
32,E03101,尾盖螺丝机,,DM243,192.168.0.30,1
33,E03202,人工目检指示灯,,DM244,192.168.0.30,1
