序号,扫码枪编号,名称,IP,最大扫码个数
1,E00101,人工位扫码枪1,10.50.57.101,1
2,E00102,人工位扫码枪2,10.50.57.102,2
3,E00103,焊接1线扫码枪,10.50.57.103,1
4,E00104,焊接2线扫码枪,10.50.57.104,1
5,E00105,AOI扫码枪,10.50.57.105,1
6,E00106,蜂鸣扫码枪1,10.50.57.106,1
7,E00125,蜂鸣扫码枪2,10.50.57.125,1
8,E00107,刻录1+CCD扫码枪,10.50.57.107,1
9,E00108,UFT1-1线扫码枪,10.50.57.108,2
10,E00109,UFT1-2线扫码枪,10.50.57.109,2
11,E00110,UFT2扫码枪,10.50.57.110,1
12,E00111,上壳螺丝机扫码枪,10.50.57.111,1
13,E00112,上表机器人扫码枪,10.50.57.112,1
14,E00113,耐压检测前扫码枪,10.50.57.113,3
15,E00114,初调检测前扫码枪,10.50.57.114,1
16,E00115,复校检测前扫码枪,10.50.57.115,1
17,E00117,下表机器人扫码枪,10.50.57.117,1
18,E00118,刻录2扫码枪,10.50.57.118,1
19,E00119,601扫码枪,10.50.57.119,3
20,E00120,602扫码枪,10.50.57.120,1
21,E00121,铅封+刻录扫码枪,10.50.57.121,1
22,E00122,尾盖机器人扫码枪,10.50.57.122,1
23,E00123,尾盖螺丝机扫码枪,10.50.57.123,1
24,E00124,分流夹抱扫码枪,10.50.57.124,1
