序号,编号,名称,DM,对应自动扫码枪,PLC-IP
1,E00201,人工PCB扫码挡停,DM100,E00102,192.168.0.10
2,E00202,自动焊接1前扫码挡停,DM101,E00103,192.168.0.10
3,E00203,自动焊接2前扫码挡停,DM102,E00104,192.168.0.10
4,E00204,AOI前扫码挡停,DM103,E00105,192.168.0.10
5,E00205,在线蜂鸣检测前扫码挡停,DM104,E00106,192.168.0.10
6,E00206,激光刻录1+CCD前扫码挡停,DM105,E00107,192.168.0.10
7,E00207,UFT1-1前扫码挡停（带顶升移栽）,DM106,E00108,192.168.0.10
8,E00208,UFT1-2前扫码挡停,DM107,E00109,192.168.0.10
9,E00209,UFT2前扫码挡停,DM108,E00110,192.168.0.10
10,E00210,上壳螺丝机前扫码挡停,DM109,E00111,192.168.0.10
11,E00211,上下表机器人1前扫码挡停,DM110,E00112,192.168.0.10
12,E00212,机器人放6表位托盘挡停,DM111,,192.168.0.20
13,E00213,耐压检测前扫码挡停,DM112,E00113,192.168.0.20
14,E00214,初调检测1前扫码挡停,DM113,E00114,192.168.0.20
15,E00215,复校检测1前扫码挡停,DM114,E00115,192.168.0.20
16,E00216,上下表机器人2前扫码挡停,DM115,E00117,192.168.0.20
17,E00217,机器人放表托盘挡停,DM116,,192.168.0.30
18,E00218,激光刻录2前扫码挡停,DM117,E00118,192.168.0.30
19,E00219,设参专机1前扫码挡停,DM118,E00119,192.168.0.30
20,E00220,设参专机2前扫码挡停,DM119,E00120,192.168.0.30
21,E00221,铅封+铅封刻录前扫码挡停,DM120,E00121,192.168.0.30
22,E00222,机器人装尾盖前扫码挡停,DM121,E00122,192.168.0.30
23,E00223,尾盖螺丝机前扫码挡停,DM122,E00123,192.168.0.30
24,E00224,下表分流前扫码挡停,DM123,E00124,192.168.0.30
